"Class","Species","Sex","AFR","Category","L50_NP","L50_NP_IC","L50_Par","L50_Par_IC","L90_NP","L90_NP_IC","L90_Par","L90_Par_IC","N"
"Mammalia","Acinonyx jubatus","Male",2,"B",11.1,"[11.1--11.2]",NA,NA,15.4,"[15.3--15.4]",NA,NA,1888
"Mammalia","Acinonyx jubatus","All",2.1,"B",11.1,"[11.1--11.2]",NA,NA,15.6,"[15.5--15.6]",NA,NA,3730
"Mammalia","Acomys dimidiatus","Female",0.3,"B",2.2,"[2.2--2.3]",NA,NA,5.5,"[5.4--5.6]",NA,NA,224
"Mammalia","Acrobates pygmaeus","All",0.3,"B",4.2,"[4.2--4.3]",NA,NA,8.4,"[8.4--8.5]",NA,NA,1668
"Mammalia","Aepyceros melampus","Female",1.5,"B",9.9,"[9.8--10]",NA,NA,16.1,"[16--16.1]",NA,NA,1642
"Mammalia","Aepyceros melampus","All",1.3,"B",8.3,"[8.3--8.4]",NA,NA,15.7,"[15.6--15.7]",NA,NA,2779
"Mammalia","Ammotragus lervia","Male",1.6,"B",11.8,"[11.8--11.9]",NA,NA,21,"[20.9--21.1]",NA,NA,2952
"Mammalia","Ammotragus lervia","Female",1.2,"B",10.9,"[10.9--11]",NA,NA,18.6,"[18.6--18.7]",NA,NA,3440
"Mammalia","Antilocapra americana","Male",1.4,"B",5.5,"[5.4--5.5]",NA,NA,14,"[13.7--14.1]",NA,NA,312
"Mammalia","Antilocapra americana","All",1.9,"B",6.1,"[6--6.1]",NA,NA,14.2,"[14.1--14.4]",NA,NA,645
"Mammalia","Antilope cervicapra","Male",1.1,"B",5.3,"[5.3--5.4]",NA,NA,12.9,"[12.9--13]",NA,NA,3874
"Mammalia","Antilope cervicapra","Female",1,"B",8.1,"[8.1--8.2]",NA,NA,15.9,"[15.9--16]",NA,NA,5569
"Mammalia","Antilope cervicapra","All",0.9,"B",6.6,"[6.6--6.7]",NA,NA,14.8,"[14.7--14.8]",NA,NA,10405
"Mammalia","Apodemus argenteus","Male",0.2,"B",3,"[2.9--3.3]",NA,NA,5.2,"[5.1--5.2]",NA,NA,30
"Mammalia","Apodemus speciosus","Female",0.2,"B",2.4,"[2.2--2.6]",NA,NA,3.8,"[3.6--3.9]",NA,NA,43
"Mammalia","Apodemus speciosus","All",0.2,"B",2.8,"[2.8--2.9]",NA,NA,3.7,"[3.6--3.7]",NA,NA,147
"Mammalia","Arctogalidia trivirgata","All",3,"B",10,"[9.2--10.2]",NA,NA,15.4,"[14.2--16]",NA,NA,45
"Mammalia","Artibeus jamaicensis","Female",0.9,"B",6.9,"[6.8--7]",NA,NA,18.2,"[18.1--18.2]",NA,NA,245
"Mammalia","Arvicola amphibius","Male",0.5,"B",1.8,"[1.7--1.8]",NA,NA,2.9,"[2.8--2.9]",NA,NA,338
"Mammalia","Arvicola amphibius","Female",0.5,"B",1.8,"[1.8--1.9]",NA,NA,3,"[2.9--3]",NA,NA,301
"Mammalia","Arvicola amphibius","All",0.5,"B",1.8,"[1.7--1.8]",NA,NA,2.9,"[2.8--2.9]",NA,NA,639
"Mammalia","Atelerix albiventris","Female",0.3,"B",3.8,"[3.8--3.9]",NA,NA,5.9,"[5.9--6]",NA,NA,1319
"Mammalia","Atelerix albiventris","All",0.3,"B",3.8,"[3.7--3.8]",NA,NA,5.8,"[5.7--5.8]",NA,NA,2673
"Mammalia","Axis axis","Male",1.4,"B",8,"[7.9--8]",NA,NA,15.3,"[15.2--15.4]",NA,NA,2153
"Mammalia","Axis axis","Female",1.2,"B",11.1,"[11--11.1]",NA,NA,24.3,"[24.2--29.5]",NA,NA,3155
"Mammalia","Axis axis","All",1.1,"B",9.4,"[9.4--9.5]",NA,NA,23,"[22.9--23]",NA,NA,6121
"Mammalia","Babyrousa celebensis","Male",2.6,"B",12.1,"[12--12.5]",NA,NA,18.7,"[18.7--18.8]",NA,NA,85
"Mammalia","Bassariscus astutus","Male",0.8,"B",12.5,"[12.3--13.1]",NA,NA,15.7,"[15.5--16.2]",NA,NA,60
"Mammalia","Bettongia penicillata","Male",0.5,"B",7.3,"[7.3--7.4]",NA,NA,14.5,"[14.5--14.6]",NA,NA,728
"Mammalia","Bos grunniens","All",1.7,"B",14.4,"[14.3--14.4]",NA,NA,23.3,"[23.2--23.3]",NA,NA,1712
"Mammalia","Bos taurus","All",1.6,"B",14.5,"[14.5--14.6]",NA,NA,23.4,"[23.4--23.5]",NA,NA,5582
